LibraryName	SampleID	GeneticBackground	Embryo	EmbryonicDay	Sex	Lineage	GeneticBackground_OLD
EB_868	868	C57 (F) x CAST (M)	11	5.5	F	VE	CAST (F) x C57 (M)
EB_869	869	C57 (F) x CAST (M)	11	5.5	F	VE	CAST (F) x C57 (M)
EB_871	871	C57 (F) x CAST (M)	11	5.5	F	EPI	CAST (F) x C57 (M)
EB_872	872	C57 (F) x CAST (M)	11	5.5	F	EPI	CAST (F) x C57 (M)
EB_873	873	C57 (F) x CAST (M)	11	5.5	F	VE	CAST (F) x C57 (M)
EB_875	875	C57 (F) x CAST (M)	11	5.5	F	VE	CAST (F) x C57 (M)
EB_878	878	C57 (F) x CAST (M)	11	5.5	F	EPI	CAST (F) x C57 (M)
EB_879	879	C57 (F) x CAST (M)	11	5.5	F	EPI	CAST (F) x C57 (M)
EB_880	880	C57 (F) x CAST (M)	11	5.5	F	VE	CAST (F) x C57 (M)
EB_881	881	C57 (F) x CAST (M)	11	5.5	F	VE	CAST (F) x C57 (M)
EB_888	888	C57 (F) x CAST (M)	11	5.5	F	VE	CAST (F) x C57 (M)
EB_892	892	C57 (F) x CAST (M)	11	5.5	F	VE	CAST (F) x C57 (M)
EB_894	894	C57 (F) x CAST (M)	11	5.5	F	EPI	CAST (F) x C57 (M)
EB_895	895	C57 (F) x CAST (M)	11	5.5	F	EPI	CAST (F) x C57 (M)
EB_897	897	C57 (F) x CAST (M)	11	5.5	F	EPI	CAST (F) x C57 (M)
EB_898	898	C57 (F) x CAST (M)	11	5.5	F	EPI	CAST (F) x C57 (M)
EB_903	903	C57 (F) x CAST (M)	11	5.5	F	VE	CAST (F) x C57 (M)
EB_904	904	C57 (F) x CAST (M)	11	5.5	F	VE	CAST (F) x C57 (M)
EB_905	905	C57 (F) x CAST (M)	11	5.5	F	VE	CAST (F) x C57 (M)
EB_906	906	C57 (F) x CAST (M)	11	5.5	F	EPI	CAST (F) x C57 (M)
EB_907	907	C57 (F) x CAST (M)	11	5.5	F	EPI	CAST (F) x C57 (M)
EB_909	909	C57 (F) x CAST (M)	11	5.5	F	VE	CAST (F) x C57 (M)
EB_910	910	C57 (F) x CAST (M)	11	5.5	F	VE	CAST (F) x C57 (M)
EB_911	911	C57 (F) x CAST (M)	11	5.5	F	VE	CAST (F) x C57 (M)
EB_912	912	C57 (F) x CAST (M)	11	5.5	F	VE	CAST (F) x C57 (M)
EB_914	914	C57 (F) x CAST (M)	11	5.5	F	EPI	CAST (F) x C57 (M)
EB_916	916	C57 (F) x CAST (M)	11	5.5	F	VE	CAST (F) x C57 (M)
EB_918	918	C57 (F) x CAST (M)	12	5.5	F	ExE	CAST (F) x C57 (M)
EB_919	919	C57 (F) x CAST (M)	12	5.5	F	EPI	CAST (F) x C57 (M)
EB_920	920	C57 (F) x CAST (M)	12	5.5	F	ExE	CAST (F) x C57 (M)
EB_921	921	C57 (F) x CAST (M)	12	5.5	F	EPI	CAST (F) x C57 (M)
EB_922	922	C57 (F) x CAST (M)	12	5.5	F	EPI	CAST (F) x C57 (M)
EB_925	925	C57 (F) x CAST (M)	12	5.5	F	EPI	CAST (F) x C57 (M)
EB_926	926	C57 (F) x CAST (M)	12	5.5	F	ExE	CAST (F) x C57 (M)
EB_928	928	C57 (F) x CAST (M)	12	5.5	F	EPI	CAST (F) x C57 (M)
EB_930	930	C57 (F) x CAST (M)	12	5.5	F	ExE	CAST (F) x C57 (M)
EB_931	931	C57 (F) x CAST (M)	12	5.5	F	ExE	CAST (F) x C57 (M)
EB_939	939	C57 (F) x CAST (M)	13	5.5	M	ExE	CAST (F) x C57 (M)
EB_942	942	C57 (F) x CAST (M)	13	5.5	M	ExE	CAST (F) x C57 (M)
EB_943	943	C57 (F) x CAST (M)	13	5.5	M	ExE	CAST (F) x C57 (M)
EB_944	944	C57 (F) x CAST (M)	13	5.5	M	ExE	CAST (F) x C57 (M)
EB_945	945	C57 (F) x CAST (M)	13	5.5	M	VE	CAST (F) x C57 (M)
EB_947	947	C57 (F) x CAST (M)	13	5.5	M	VE	CAST (F) x C57 (M)
EB_948	948	C57 (F) x CAST (M)	13	5.5	M	VE	CAST (F) x C57 (M)
EB_949	949	C57 (F) x CAST (M)	13	5.5	M	ExE	CAST (F) x C57 (M)
EB_950	950	C57 (F) x CAST (M)	13	5.5	M	EPI	CAST (F) x C57 (M)
EB_951	951	C57 (F) x CAST (M)	13	5.5	M	VE	CAST (F) x C57 (M)
EB_953	953	C57 (F) x CAST (M)	13	5.5	M	VE	CAST (F) x C57 (M)
EB_954	954	C57 (F) x CAST (M)	13	5.5	M	ExE	CAST (F) x C57 (M)
EB_955	955	C57 (F) x CAST (M)	13	5.5	M	ExE	CAST (F) x C57 (M)
EB_956	956	C57 (F) x CAST (M)	13	5.5	M	ExE	CAST (F) x C57 (M)
EB_959	959	C57 (F) x CAST (M)	13	5.5	M	EPI	CAST (F) x C57 (M)
EB_962	962	C57 (F) x CAST (M)	13	5.5	M	EPI	CAST (F) x C57 (M)
EB_963	963	C57 (F) x CAST (M)	13	5.5	M	EPI	CAST (F) x C57 (M)
EB_964	964	C57 (F) x CAST (M)	13	5.5	M	ExE	CAST (F) x C57 (M)
EB_965	965	C57 (F) x CAST (M)	13	5.5	M	ExE	CAST (F) x C57 (M)
EB_968	968	C57 (F) x CAST (M)	13	5.5	M	VE	CAST (F) x C57 (M)
EB_969	969	C57 (F) x CAST (M)	13	5.5	M	ExE	CAST (F) x C57 (M)
EB_970	970	C57 (F) x CAST (M)	13	5.5	M	VE	CAST (F) x C57 (M)
EB_972	972	C57 (F) x CAST (M)	13	5.5	M	EPI	CAST (F) x C57 (M)
EB_973	973	C57 (F) x CAST (M)	13	5.5	M	VE	CAST (F) x C57 (M)
EB_974	974	C57 (F) x CAST (M)	13	5.5	M	VE	CAST (F) x C57 (M)
EB_975	975	C57 (F) x CAST (M)	13	5.5	M	VE	CAST (F) x C57 (M)
EB_976	976	C57 (F) x CAST (M)	13	5.5	M	ExE	CAST (F) x C57 (M)
EB_977	977	C57 (F) x CAST (M)	13	5.5	M	VE	CAST (F) x C57 (M)
EB_978	978	C57 (F) x CAST (M)	13	5.5	M	VE	CAST (F) x C57 (M)
EB_979	979	C57 (F) x CAST (M)	13	5.5	M	VE	CAST (F) x C57 (M)
EB_980	980	C57 (F) x CAST (M)	13	5.5	M	ExE	CAST (F) x C57 (M)
EB_982	982	C57 (F) x CAST (M)	13	5.5	M	EPI	CAST (F) x C57 (M)
EB_983	983	C57 (F) x CAST (M)	13	5.5	M	VE	CAST (F) x C57 (M)
EB_984	984	C57 (F) x CAST (M)	13	5.5	M	EPI	CAST (F) x C57 (M)
EB_985	985	C57 (F) x CAST (M)	13	5.5	M	EPI	CAST (F) x C57 (M)
EB_986	986	C57 (F) x CAST (M)	13	5.5	M	EPI	CAST (F) x C57 (M)
EB_987	987	C57 (F) x CAST (M)	13	5.5	M	EPI	CAST (F) x C57 (M)
EB_988	988	C57 (F) x CAST (M)	13	5.5	M	EPI	CAST (F) x C57 (M)
EB_989	989	C57 (F) x CAST (M)	13	5.5	M	EPI	CAST (F) x C57 (M)
EB_990	990	C57 (F) x CAST (M)	13	5.5	M	EPI	CAST (F) x C57 (M)
EB_992	992	C57 (F) x CAST (M)	13	5.5	M	EPI	CAST (F) x C57 (M)
EB_993	993	C57 (F) x CAST (M)	13	5.5	M	EPI	CAST (F) x C57 (M)
EB_994	994	C57 (F) x CAST (M)	13	5.5	M	EPI	CAST (F) x C57 (M)
EB_995	995	C57 (F) x CAST (M)	13	5.5	M	EPI	CAST (F) x C57 (M)
EB_996	996	C57 (F) x CAST (M)	13	5.5	M	ExE	CAST (F) x C57 (M)
EB_997	997	C57 (F) x CAST (M)	13	5.5	M	VE	CAST (F) x C57 (M)
